,상품이름,무게,칼로리,지방,탄수화물,단백질
187,참치불고기김밥,1인분 (205g)당,343kcal,7.00g,58.00g,12.00g
188,리얼 생초코찰떡,1인분 (35g)당,113kcal,2.30g,22.00g,1.00g
189,맛새우칩,1/2봉지 (30g)당,155kcal,8.00g,20.00g,2.00g
190,토핑 유부초밥,1회 (225g)당,442kcal,14.00g,67.00g,12.00g
191,케이준치킨샐러드 샌드위치,1팩 (140g)당,325kcal,13.00g,43.00g,9.00g
192,흑임자치킨 미니 샐러드,1인분 (135g)당,118kcal,6.00g,8.00g,8.00g
193,햄참치게맛살 샌드위치,1회 (125g)당,310kcal,14.00g,37.00g,9.00g
194,바나나케이크,1인분 (115g)당,334kcal,14.00g,47.00g,5.00g
195,초코프레첼,1봉지 (45g)당,190kcal,5.00g,32.00g,3.00g
196,딥치즈 치킨 미니샐러드,1인분 (137g)당,163kcal,11.00g,7.00g,9.00g
197,계란과자,1인분 (90g)당,455kcal,21.00g,61.00g,6.00g
198,실속 참치김밥,1회 (155g)당,229kcal,3.50g,42.00g,8.00g
199,전주비빔,1회 (107g)당,179kcal,2.10g,36.00g,4.00g
200,치킨마요덮밥,1인분 (393g)당,709kcal,17.00g,110.00g,29.00g
201,쌀대롱,1봉지 (120g)당,565kcal,19.00g,91.00g,8.00g
202,치킨햄샌드위치,1회 (145g)당,304kcal,6.70g,49.00g,12.00g
203,리챔 김치볶음밥바,1인분 (145g)당,270kcal,10.00g,37.00g,8.00g
204,비빔참치마요 삼각김밥,100g당,178kcal,3.30g,33.00g,4.00g
205,제육삼각김밥,1개 (105g)당,182kcal,2.40g,35.00g,5.00g
206,바싹불고기,100g당,741kcal,29.00g,93.00g,27.00g
207,고추참치 삼각김밥,1개 (105g)당,175kcal,1.70g,36.00g,4.00g
208,제주 흑돼지 두루치기 정식,1인분 (475g)당,804kcal,24.00g,119.00g,28.00g
209,통햄김볶 삼각김밥,1인분 (104g)당,179kcal,3.40g,33.00g,4.00g
210,초코소라빵,100g당,305kcal,20.00g,36.00g,5.00g
211,흑임자 우유,1인분 (250ml)당,205kcal,9.00g,26.00g,5.00g
212,달콤한 다쿠아즈 초코,1개 (26g)당,95kcal,4.20g,13.00g,1.00g
213,몬스터후랑크,100g당,260kcal,19.00g,6.00g,16.00g
214,소고기고추장 삼각김밥,100g당,178kcal,2.40g,35.00g,4.00g
215,직화불고기 삼각김밥,100g당,184kcal,3.50g,32.00g,6.00g
216,통스팸구이 삼각김밥,100g당,183kcal,4.20g,31.00g,5.00g
217,마라훠궈 홍탕면,1인분 (145g)당,395kcal,2.90g,83.00g,10.00g
218,한입에 꼬치다,100g당,270kcal,19.00g,8.00g,17.00g
219,백종원 돼지고기 덮밥,1인분 (395g)당,598kcal,10.00g,100.00g,27.00g
220,고추장삼겹살덮밥,1회 (375g)당,812kcal,28.00g,119.00g,21.00g
221,쫄깃한 편육,1회 (150g)당,455kcal,32.00g,2.00g,39.00g
222,생크림 가득 단팥빵,1인분 (115g)당,324kcal,8.00g,56.00g,7.00g
223,참치김치 덮밥,1개 (305g)당,504kcal,12.00g,85.00g,14.00g
224,생크림 초콜릿 쿠키슈,100g당,319kcal,21.00g,28.00g,4.00g
225,맛있겠쥬? 닭갈비,1인분 (445g)당,759kcal,19.00g,111.00g,36.00g
226,추억의 강냉이,1봉지 (121g)당,480kcal,0.00g,108.00g,8.00g
227,불고기김밥,1줄 (190g)당,301kcal,6.50g,47.00g,11.00g
228,고소한 치즈맛 팝콘,1회 (60g)당,280kcal,13.00g,39.00g,6.00g
229,아몬드 쿠키,1봉지 (90g)당,453kcal,21.00g,63.00g,3.00g
230,오리지날 모찌롤 플레인,1회 (125g)당,395kcal,25.00g,37.50g,5.00g
231,백종원의 매콤불고기 김밥,1줄 (230g)당,314kcal,6.00g,52.00g,13.00g
232,호두파이,1인분 (120g)당,520kcal,33.00g,45.00g,10.00g
233,떡갈비김밥,1인분 (243g)당,421kcal,13.00g,62.00g,14.00g
234,김수미 그때그맛 돼지갈비찜,100g당,180kcal,9.00g,10.00g,16.00g
235,땡초참마김볶,1인분 (164g)당,291kcal,7.00g,48.00g,9.00g
236,딸기우유,1팩 (500ml)당,315kcal,12.30g,42.00g,9.30g
237,참치왕참치마요밥바,1인분 (180g)당,314kcal,10.00g,48.00g,8.00g
238,쫀득한 아이스 마카롱,1인분 (74g)당,319kcal,15.00g,42.00g,4.00g
