,상품이름,무게,칼로리,지방,탄수화물,단백질
977,치킨 토마토 디럭스 샌드위치,2개 (180g)당,432kcal,24.00g,42.00g,12.00g
978,점보케이준치킨샌드위치,1회 (160g)당,293kcal,11.00g,37.00g,11.00g
979,정성담은참치마요김밥,1회 (335g)당,489kcal,12.00g,77.00g,18.00g
980,모구모구 깔라만시,100ml당,70kcal,0.00g,17.00g,0.00g
981,치킨케밥덮밥,1회 (310g)당,455kcal,9.00g,73.00g,20.00g
982,계란떡볶이비빔밥볼,1회 (200g)당,298kcal,2.90g,58.00g,10.00g
983,달닭 삼각김밥,1개 (105g)당,170kcal,1.50g,34.00g,5.00g
984,제주흑돼지불고기 삼각김밥,1회 (105g)당,215kcal,4.30g,38.00g,6.00g
985,오늘의 도시락 간장불고기,1회 (395g)당,730kcal,22.00g,98.00g,35.00g
986,통통새우 핫도그,1인분 (125g)당,341kcal,17.00g,39.00g,8.00g
987,초코파이 아이스샌드,1개 (160ml)당,290kcal,16.00g,33.00g,4.00g
988,고구마 티라미수,1개 (170g)당,440kcal,18.00g,63.00g,6.00g
989,쫀득한 인절미씨,1컵 (160g)당,456kcal,24.00g,54.00g,6.00g
990,파르페 인절미,1컵 (305ml)당,373kcal,17.00g,51.00g,4.00g
991,더블치즈 모닝토스트,100g당,285kcal,10.00g,36.00g,12.00g
992,통햄구이김치삼각김밥,1개 (101g)당,180kcal,4.80g,30.00g,4.00g
993,시원한바지락칼국수,1인분 (171g)당,280kcal,1.40g,58.00g,9.00g
994,쭈쭈바,1개 (130ml)당,83kcal,0.50g,20.90g,0.00g
995,옛날미숫가루,100ml당,200kcal,3.00g,39.00g,4.00g
996,노마요직화불고기,1인분 (231g)당,350kcal,6.00g,62.00g,12.00g
997,소불고기 챌린지,1인분 (368g)당,663kcal,19.00g,98.00g,25.00g
998,브라우니빙수,1인분 (280ml)당,250kcal,5.00g,47.00g,4.00g
999,흑심가득 흑임자씨,1인분 (95g)당,281kcal,13.00g,38.00g,3.00g
1000,맥앤치즈토스트,1인분 (150g)당,367kcal,15.00g,44.00g,14.00g
1001,달콤 통 돈까스,100g당,194kcal,6.00g,30.00g,5.00g
1002,매콤참치김밥,1회 (200g)당,273kcal,3.40g,50.00g,11.00g
1003,통고기산적 삼각김밥,1개 (105g)당,209kcal,4.50g,36.00g,6.00g
1004,치즈감튀 샌드위치,1회 (150g)당,411kcal,23.00g,42.00g,9.00g
1005,녹차 크림 샌드위치,1개 (145g)당,496kcal,20.00g,72.00g,7.00g
1006,고기듬뿍 김치제육김밥,1개 (205g)당,320kcal,8.00g,50.00g,12.00g
1007,통째로 갈아 넣은 자몽한개,1개 (130ml)당,47kcal,0.00g,10.00g,1.00g
1008,통팥앙파이,1봉 (45g)당,170kcal,6.00g,26.00g,3.00g
1009,달고나 롤,1인분 (95g)당,335kcal,7.00g,62.00g,6.00g
1010,불곱창짜글이,1인분 (320g)당,370kcal,10.00g,55.00g,15.00g
1011,떠먹는리챔김치밥버거,1인분 (193g)당,313kcal,5.00g,56.00g,11.00g
1012,에어칩스 치즈,1회 (63g)당,285kcal,11.00g,42.00g,4.10g
1013,백종원 맛있닭가슴살 정식,1인분 (482g)당,798kcal,22.00g,121.00g,29.00g
1014,아이스께끼,1회 (85ml)당,60kcal,0.00g,15.00g,0.00g
1015,통영굴매생이라면,1컵 (97g)당,420kcal,14.00g,66.00g,8.00g
1016,참치마요햄말이,1개 (140g)당,274kcal,10.00g,38.50g,7.60g
1017,구어메이 계란과자,20개 (30g)당,150kcal,6.00g,22.00g,2.00g
1018,불고기마요 햄말이,1인분 (140g)당,271kcal,8.50g,39.00g,9.70g
1019,팥쥐모쥐? 샌드위치,1인분 (195g)당,507kcal,7.00g,104.00g,7.00g
1020,푸짐한 바싹불고기,1인분 (365g)당,681kcal,17.00g,101.00g,31.00g
1021,흑미소불고기김밥,1인분 (212g)당,314kcal,3.86g,56.00g,14.00g
1022,대왕유부 너비아니,1인분 (124g)당,231kcal,7.00g,35.00g,7.00g
1023,체다치즈햄불고기버거,1회 (137g)당,324kcal,12.00g,44.00g,10.00g
1024,1500모닝롤,1회 (150g)당,495kcal,9.00g,92.00g,11.00g
1025,호밀3단 샌드위치,1인분 (118g)당,285kcal,11.00g,37.00g,9.00g
1026,오리지널떡볶이,1인분 (320g)당,730kcal,4.70g,158.00g,14.00g
1027,옛날통닭모양 젤리,1인분 (80g)당,240kcal,0.00g,60.00g,5.60g
1028,백앙금베터보스톤,1인분 (60g)당,250kcal,13.00g,29.00g,4.00g
1029,매콤달달 김치제육,1인분 (105g)당,169kcal,2.30g,32.00g,5.00g
1030,찰떡쑥떡샌드,1인분 (161g)당,408kcal,8.00g,76.00g,8.00g
1031,채식주의 샐러드볼,1인분 (280g)당,422kcal,18.00g,39.00g,26.00g
1032,왓더맵 떡볶이,1인분 (320g)당,709kcal,4.60g,157.00g,10.00g
1033,햄 토마토 디럭스 샌드위치,1인분 (180g)당,435kcal,23.00g,46.00g,11.00g
1034,머스타드 치킨 샌드위치,1개 (165g)당,567kcal,23.00g,80.00g,10.00g
1035,허니&숯불치킨이닭,1인분 (450g)당,838kcal,30.00g,114.00g,28.00g
1036,그린티 크림모찌,1개 (80g)당,205kcal,15.00g,45.00g,3.00g
1037,베스트 꼬마 김밥,1개 (290g)당,522kcal,18.00g,78.00g,12.00g
1038,쫀득한 듀얼쿠키,1회 (45g)당,179kcal,7.00g,27.00g,2.00g
1039,순삭토스트 데리야끼 비프,1회 (181g)당,370kcal,10.00g,55.00g,15.00g
1040,이건가요? 군대버거,1인분 (145g)당,395kcal,15.00g,55.00g,10.00g
1041,매콤맛있닭가슴살 도시락,1회 (460g)당,720kcal,20.00g,98.00g,37.00g
1042,불고기듬뿍버거,1인분 (200g)당,487kcal,23.00g,47.00g,23.00g
1043,홍천곤드레불고기 삼각김밥,1인분 (105g)당,180kcal,3.50g,32.00g,5.00g
1044,원형 스테이크주먹밥,1개 (130g)당,247kcal,8.00g,36.00g,8.00g
1045,체다치즈콘볼,1봉지 (50g)당,255kcal,13.00g,31.00g,4.00g
1046,아몬드 치킨 샐러드 샌드위치,1팩 (130g)당,290kcal,12.00g,36.00g,9.00g
1047,임실치즈라면,1컵 (115ml)당,515kcal,19.00g,76.00g,10.00g
1048,갈릭떡갈비버거,1회 (175g)당,528kcal,32.00g,42.00g,18.00g
1049,김두부스낵,1회 (80g)당,380kcal,16.00g,52.00g,7.00g
1050,불닭그라탕,1회 (225g)당,360kcal,12.00g,46.00g,17.00g
1051,커리 크랩 샌드위치,1회 (155g)당,347kcal,15.00g,43.00g,10.00g
1052,꿀배에이드,1회 (230ml)당,115kcal,0.00g,28.00g,1.00g
1053,트리플쨈드위치,1인분 (130g)당,348kcal,12.00g,53.00g,8.00g
1054,고기고기 유부삼각,1 인분 (228g)당,419kcal,11.00g,65.00g,15.00g
1055,동원참치 샌드위치,1회 (165g)당,396kcal,20.00g,42.00g,12.00g
1056,코코아아몬드,1회 (20g)당,120kcal,9.00g,6.00g,4.00g
1057,Big 드링킹 요구르트 애플망고,100ml당,74kcal,2.00g,12.00g,2.00g
1058,돼지불백 김밥,1줄 (200g)당,312kcal,4.40g,58.00g,10.00g
1059,크랩참치,1줄 (200g)당,345kcal,13.00g,47.00g,10.00g
1060,공 닭갈비 삼각김밥,1인분 (110g)당,181kcal,2.80g,32.00g,7.00g
1061,고기듬뿍김치제육김밥,1회 (205g)당,320kcal,8.00g,50.00g,12.00g
1062,남도 떡갈비 빅밥바,1인분 (180g)당,377kcal,13.00g,52.00g,13.00g
1063,치킨 머쉬룸 클럽 샌드위치,1인분  (165g)당,347kcal,15.00g,40.00g,13.00g
1064,땡초크랩마요김밥,1인분 (225g)당,318kcal,6.00g,58.00g,8.00g
1065,수박롤케잌,100g당,345kcal,19.00g,39.00g,5.00g
1066,2000고기김밥,1인분 (215g)당,318kcal,6.00g,54.00g,12.00g
1067,맥시멈 3단 버거,1인분 (207g)당,578kcal,30.00g,57.00g,20.00g
1068,베스트빅불고기버거,1인분 (255g)당,544kcal,24.00g,60.00g,22.00g
1069,리얼BIG직화스파이시치킨,1인분 (220g)당,315kcal,9.00g,11.00g,47.00g
1070,햄치즈 브리또,1개 (120g)당,350kcal,16.00g,37.00g,13.00g
1071,입안에서사르르팝콘,1/2컵 (38g)당,189kcal,9.00g,27.00g,1.90g
1072,후레쉬 콘 샐러드,100g당,135kcal,7.00g,16.00g,2.00g
1073,파르페 망고,1컵 (305ml)당,282kcal,10.00g,46.00g,2.00g
1074,햄에그모닝머핀,1개 (120g)당,270kcal,12.00g,28.00g,11.00g
1075,미니초코롤케익,1인분 (85g)당,280kcal,10.00g,42.00g,5.00g
1076,초코바나나콘,1회 (65g)당,370kcal,24.00g,36.00g,3.00g
1077,매콤불고기 버거,1회 (130g)당,287kcal,7.00g,40.00g,16.00g
1078,모찌모찌롤 티라미수,1개 (150g)당,490kcal,29.00g,50.00g,8.00g
1079,오늘의 도시락 미트볼&치킨까스,1인분 (420g)당,822kcal,30.00g,108.00g,30.00g
1080,매콤불고기버거,1회 (130g)당,287kcal,7.00g,40.00g,16.00g
1081,베리초코바,1인분 (90ml)당,215kcal,13.00g,21.00g,3.00g
1082,통통 마일드 치킨버거,1개 (150g)당,416kcal,20.00g,42.00g,17.00g
1083,베이컨 핫도그,1인분 (160g)당,508kcal,32.00g,43.00g,12.00g
1084,치즈쭉쭉나쵸피자,100g당,547kcal,27.00g,59.00g,17.00g
1085,허브갈릭 훈제오리,100g당,345kcal,28.00g,7.00g,16.00g
1086,노마요참치김밥,1인분 (240g)당,321kcal,3.70g,59.00g,13.00g
1087,규리또리또,1인분 (415g)당,684kcal,20.00g,99.00g,27.00g
1088,쫀득롤케익 복숭아,1인분 (145g)당,480kcal,26.00g,56.00g,6.00g
1089,플랫브레드풀드포크,1인분 (301g)당,455kcal,11.00g,67.00g,22.00g
1090,여친이 싸준 도시락,1회 (395g)당,787kcal,35.00g,92.00g,26.00g
1091,스윗칠리돈가스,1회 (420g)당,905kcal,33.00g,127.00g,25.00g
1092,생크림가득단팥빵,1개 (115g)당,324kcal,8.00g,56.00g,7.00g
1093,매콤한 명란마요 삼각김밥,100g당,201kcal,3.20g,35.00g,8.00g
1094,동해홍게딱지장,1회 (105g)당,179kcal,3.00g,34.00g,4.00g
1095,야채참치&고추참치롱반반김밥,1인분 (275g)당,410kcal,6.00g,77.00g,12.00g
1096,떡갈비전주비빔밥 삼각김밥,100g당,235kcal,7.00g,38.00g,5.00g
1097,햄&콘치즈샌드,1인분 (92g)당,218kcal,10.00g,25.00g,7.00g
1098,로스트비프&아보카도,1인분 (151g)당,281kcal,10.00g,35.00g,13.00g
1099,점보4단샌드,1인분 (212g)당,383kcal,11.00g,56.00g,15.00g
1100,오븐에 구운 호두파이,1인분 (40g)당,204kcal,12.00g,21.00g,3.00g
1101,치킨 마크니커리,1인분 (357g)당,554kcal,14.00g,85.00g,22.00g
1102,식감두배 불고기전주,1인분 (155g)당,250kcal,6.00g,41.00g,8.00g
1103,매콤단짠 고추장불고기,1개 (110g)당,197kcal,2.30g,38.00g,6.00g
1104,하프 & 하프 샌드위치,1인분 (156g)당,293kcal,13.00g,34.00g,10.00g
1105,치즈갈비찜김밥,1인분 (248g)당,393kcal,9.00g,56.00g,22.00g
1106,바질페스토&두부크럼블 샌드,1 인분 (163g)당,317kcal,13.00g,35.00g,15.00g
1107,경규옹의 돼지국밥,1인분 (257g)당,408kcal,3.10g,81.00g,14.00g
1108,통살오징어버거,1회 (130g)당,310kcal,14.00g,37.00g,7.00g
1109,치킨커리 삼각김밥,100g당,167kcal,1.40g,34.00g,5.00g
1110,씨유저지방우유,100ml당,38kcal,0.80g,5.00g,3.00g
1111,맵닭&달닭 반반김밥,1회 (220g)당,305kcal,5.00g,54.00g,11.00g
1112,크랜베리 야채 샌드위치,1봉지 (115g)당,265kcal,11.00g,34.00g,7.00g
1113,비빔햄참치주먹밥,1개 (170g)당,326kcal,10.00g,51.00g,8.00g
1114,바나나밀크,1병 (270ml)당,195kcal,5.00g,30.00g,7.00g
1115,골든치킨텐더볼,1팩 (176g)당,264kcal,20.00g,9.00g,12.00g
1116,NEW 상하이스파이시치킨버거,1인분 (175g)당,481kcal,21.00g,59.00g,14.00g
1117,고흥유자 꼬꼬샐러드롤,1인분 (242g)당,475kcal,15.00g,67.00g,18.00g
1118,자이언트 매콤치킨피자,1회 (190g)당,492kcal,16.00g,64.00g,23.00g
1119,만능볶음고추장삼각김밥,100g당,193kcal,4.50g,34.00g,4.00g
1120,뉴불고기플러스버거,1개 (125g)당,308kcal,12.00g,39.00g,11.00g
1121,양념/간장 치킨반반김밥,1줄 (215g)당,366kcal,10.00g,59.00g,10.00g
1122,블랙크림치즈쿠키슈,1회 (75g)당,236kcal,12.00g,27.00g,5.00g
1123,달달한 돈까스 짜장 삼각김밥,100g당,195kcal,4.80g,31.00g,7.00g
1124,듬뿍햄참치마요,1회 (110g)당,220kcal,8.00g,33.00g,4.00g
1125,스파이시참치&에그 샌드위치,1개 (145g)당,381kcal,21.00g,35.00g,13.00g
1126,강황렌틸컵밥 고기산적,1인분 (165g)당,319kcal,11.00g,43.00g,12.00g
1127,크래미아유부롤,1개 (155g)당,275kcal,7.00g,45.00g,8.00g
1128,초코파이 아이스샌드 그린티,1회 (160ml)당,325kcal,19.00g,34.00g,4.00g
1129,요거요거 단백해 샐러드,1인분 (214g)당,275kcal,8.00g,41.00g,11.00g
1130,구운 갈비&매운갈비 왕교자,1개 (192g)당,461kcal,20.00g,52.00g,20.00g
1131,치즈고구마샌드,1인분 (165g)당,423kcal,15.00g,59.00g,13.00g
1132,콩닭콩닥 샐러드,1인분 (170g)당,200kcal,6.70g,22.39g,12.39g
1133,통통햄계란말이김밥,1인분 (250g)당,424kcal,12.00g,63.00g,16.00g
1134,유산슬 비빔면,1회 (250g)당,355kcal,3.40g,69.00g,12.00g
1135,체다치즈 햄불고기버거,1인분 (137g)당,324kcal,12.00g,44.00g,10.00g
1136,불고기 왕가득,100g당,155kcal,2.10g,30.00g,4.00g
1137,통떡갈비전주비빔,100g당,176kcal,4.00g,30.00g,5.00g
1138,햄&콘 치즈샌드,1인분 (92g)당,218kcal,10.00g,25.00g,7.00g
1139,야채빵빵버거,1인분 (150g)당,238kcal,6.00g,32.00g,14.00g
1140,봄봄햄에그 샌드위치,1인분 (159g)당,433kcal,25.00g,38.00g,14.00g
1141,오색비빔 리조또,1인분 (340g)당,588kcal,20.00g,82.00g,20.00g
1142,쫀득롤케익 카페오레,1인분 (130g)당,434kcal,23.00g,49.00g,7.00g
1143,미트칠리점보핫도그,1인분 (152g)당,425kcal,25.00g,29.00g,21.00g
1144,백종원의 한줄김밥,1줄 (230g)당,373kcal,9.00g,63.00g,10.00g
1145,오트크랜베리쿠키,1봉 (35g)당,170kcal,7.00g,25.00g,2.00g
1146,유부밥바,1인분 (160g)당,272kcal,7.00g,44.00g,8.00g
1147,치즈만수르돈까스,1회 (405g)당,785kcal,25.00g,103.00g,37.00g
1148,카레 가츠버거,1인분 (166g)당,514kcal,26.00g,60.00g,10.00g
1149,하와이안 로코모코 버거,100g당,301kcal,9.00g,41.00g,14.00g
1150,매콤갈릭 면볶이,1인분 (243g)당,350kcal,0.80g,80.00g,6.00g
1151,명란크랩마요,1인분 (160g)당,291kcal,7.00g,51.00g,6.00g
1152,명란에그샌드위치,1회 (110g)당,231kcal,11.00g,26.00g,7.00g
1153,깔라x자몽톡시,1컵 (270ml)당,140kcal,0.00g,34.00g,1.00g
1154,함박삼각김밥,1인분 (105g)당,188kcal,3.60g,34.00g,5.00g
1155,매콤간장치킨볶이,1회 (110g)당,450kcal,16.00g,68.00g,9.00g
1156,치즈쉬림프 볼샐러드,1인분 (150g)당,151kcal,7.00g,15.00g,7.00g
1157,비빔참치,100g당,171kcal,3.40g,31.00g,4.00g
1158,통모짜렐라 고구마피자버거,1봉지 (173g)당,398kcal,14.00g,49.00g,19.00g
1159,리얼어니언 햄샐러드,1회 (167g)당,120kcal,4.40g,13.00g,7.00g
1160,파마산맥앤치즈버거,1인분 (160g)당,431kcal,19.00g,49.00g,16.00g
1161,흑임자 인절미 스낵,1인분 (60g)당,315kcal,17.00g,36.00g,4.00g
1162,비프함박,1인분당,931kcal,47.00g,91.00g,36.00g
1163,대만식초코크림 샌드위치,1개 (125g)당,377kcal,17.00g,46.00g,10.00g
1164,쫀득한 마카롱 녹차,1인분 (72g)당,314kcal,14.00g,43.00g,4.00g
1165,믹스커피,100ml당,60kcal,0.90g,13.00g,0.00g
1166,촉촉치즈수플레,1인분 (110g)당,318kcal,14.00g,40.00g,8.00g
1167,초코츄러스 뉴짱,100g당,503kcal,23.00g,68.00g,6.00g
1168,통리챔김볶,1인분 (104g)당,168kcal,2.70g,30.00g,6.00g
1169,에그 코우슬로 샌드위치,1인분 (110g)당,226kcal,10.00g,29.00g,5.00g
1170,오후의 티라미수 녹차,1개 (140g)당,365kcal,18.00g,45.00g,5.00g
1171,후라이드에그 샌드위치,1팩 (140g)당,290kcal,12.00g,36.00g,10.00g
1172,불타는 치킨돈까스 삼각김밥,1개 (110g)당,236kcal,8.00g,35.00g,6.00g
1173,Big 드링킹 요구르트 베리믹스,100ml당,74kcal,2.00g,12.00g,2.00g
1174,씨유우유 저지방+칼슘,1컵 (200ml)당,80kcal,2.00g,10.00g,6.00g
1175,골든브리또,1개 (130g)당,375kcal,18.00g,40.00g,14.00g
1176,토핑2배 닭갈비,1인분 (110g)당,176kcal,2.20g,34.00g,5.00g
1177,매콤치즈콘닭,1인분 (360g)당,633kcal,29.00g,34.00g,59.00g
1178,치킨로메인 샌드위치,1인분 (144g)당,278kcal,9.00g,33.00g,17.00g
1179,흑임자3단 샌드위치,1인분 (135g)당,258kcal,10.00g,35.00g,7.00g
1180,부어먹는 단팥찐빵,1인분 (210g)당,540kcal,5.00g,111.00g,12.00g
1181,치킨클라쓰,1회 (220g)당,536kcal,24.00g,45.00g,35.00g
1182,조세호빵 제주흑돼지,1회 (90g)당,194kcal,4.20g,32.00g,7.00g
1183,통모짜렐라고구마피자버거,1회 (173g)당,398kcal,14.00g,49.00g,19.00g
1184,고구마한입샌드,1팩 (120g)당,475kcal,35.00g,35.00g,5.00g
1185,나를위한비빔밥,1인분 (355g)당,486kcal,10.00g,84.00g,15.00g
1186,더블카라멜 팝콘컵,1인분 (110g)당,540kcal,22.00g,83.00g,2.00g
1187,육즙만수르비프함박,1인분 (425g)당,826kcal,34.00g,94.00g,36.00g
1188,궁극의 도시락 불백편,1인분 (400g)당,653kcal,25.00g,74.00g,33.00g
1189,매콤알싸 청양참치마요,100g당,171kcal,4.80g,27.00g,5.00g
1190,쑥라떼찰떡,1개 (35g)당,109kcal,1.40g,23.00g,1.00g
1191,빽햄김치볶음,1인분 (10g)당,199kcal,7.00g,29.00g,5.00g
1192,눈꽃치즈찜닭 삼각김밥,100g당,173kcal,5.00g,27.00g,5.00g
1193,ㄷㅇ?ㅇㅂㄱ,1회 (190g)당,740kcal,38.00g,92.00g,8.00g
1194,제주흑돼지두루치기김밥,1인분 (195g)당,316kcal,8.00g,48.00g,13.00g
1195,치킨토마토디럭스샌드위치,1팩 (180g)당,432kcal,24.00g,42.00g,12.00g
1196,해물스틱롱밥,1개 (205g)당,387kcal,15.00g,53.00g,10.00g
1197,통 삼각돈까스,100g당,226kcal,6.00g,38.00g,5.00g
1198,고메 미트볼 삼각김밥,1회 (105g)당,201kcal,5.00g,33.00g,6.00g
1199,만능비빔간장김밥,1개 (215g)당,378kcal,10.00g,60.00g,12.00g
1200,만능비빔간장 삼각김밥,100g당,170kcal,2.40g,33.00g,4.00g
1201,NEW 참치마요네즈,1개 (102g)당,186kcal,4.70g,31.00g,5.00g
1202,달콤상콤해 샌드위치,1회 (145g)당,357kcal,17.00g,43.00g,8.00g
1203,통햄참치김볶,1개 (105g)당,204kcal,8.00g,28.00g,5.00g
1204,띵작 모찌모찌롤 그린티,1인분 (75g)당,230kcal,9.00g,33.00g,4.00g
1205,The 부드러운 치즈에그 샌드위치,1회 (115g)당,262kcal,14.00g,24.00g,10.00g
1206,모찌모찌롤 티라미수,1회 (75g)당,245kcal,14.00g,25.00g,4.00g
1207,우쥬베리미 샌드위치,100g당,282kcal,14.00g,35.00g,4.00g
1208,샌드가포도포도해,1인분 (122g)당,235kcal,7.00g,39.00g,4.00g
1209,안동식 찜닭 ball 주먹밥,1회 (155g)당,257kcal,3.70g,49.00g,7.00g
1210,팔도진미 강원도편,1인분 (385g)당,633kcal,17.00g,90.00g,30.00g
1211,오리파워업덮밥,1인분 (380g)당,651kcal,19.00g,102.00g,18.00g
1212,애플크럼쿠키,1인분 (45g)당,193kcal,9.00g,26.00g,2.00g
1213,리브롱버거,1인분 (179g)당,479kcal,19.00g,63.00g,14.00g
1214,잇츠빅불고기버거,1회 (255g)당,680kcal,36.00g,65.00g,24.00g
1215,허니샤워팝콘,1회 (70g)당,360kcal,21.00g,42.00g,4.40g
1216,달콤크림속딸기샌드,100g당,335kcal,19.00g,37.00g,4.00g
1217,핫크리스피 통살치킨버거,1봉지 (150g)당,331kcal,15.00g,35.00g,14.00g
1218,듬뿍 포테이토 샌드위치,1회 (175g)당,508kcal,32.00g,46.00g,9.00g
1219,오리지날 모찌롤 커피,1회 (50g)당,153kcal,9.00g,17.00g,1.00g
1220,수원식왕갈비치킨김밥,1줄 (200g)당,318kcal,6.00g,57.00g,9.00g
1221,양념숯불갈비맛,100g당,183kcal,2.10g,36.00g,5.00g
1222,새해엔 모두 다 돼지,1인분 (420g)당,864kcal,28.00g,114.00g,39.00g
1223,ABC 샌드위치,1개 (175g)당,448kcal,24.00g,43.00g,15.00g
1224,명탐정 샌드위치,1팩 (136g)당,311kcal,15.00g,35.00g,9.00g
1225,매워도포기마라,100g당,614kcal,18.00g,97.00g,16.00g
1226,진한 크림치즈슈,1개 (21g)당,56kcal,3.60g,5.00g,1.00g
1227,흑당밀크티 샌드위치,1회 (135g)당,329kcal,5.00g,63.00g,8.00g
1228,BNW치킨버거,1인분 (165g)당,404kcal,16.00g,51.00g,14.00g
1229,막갈옹,1인분 (74g)당,341kcal,17.00g,43.00g,4.00g
1230,덕분애정식,1인분 (434g)당,743kcal,23.00g,88.00g,46.00g
1231,무도빠 고소당한 치즈,100g당,145kcal,5.00g,13.00g,12.00g
1232,커피앤버터쿠키,1회 (34g)당,311kcal,17.00g,35.00g,5.00g
1233,횡성한우치즈김밥,1회 (205g)당,321kcal,9.00g,49.00g,11.00g
1234,가볍다그린,1병 (190ml)당,99kcal,1.10g,21.00g,1.00g
1235,매콤 불고기 스낵,1봉 (60g)당,310kcal,16.00g,39.00g,2.00g
1236,1분김치찌개맛주먹밥,1인분 (160g)당,282kcal,6.00g,49.00g,8.00g
1237,양념치킨밥바,1개 (160g)당,368kcal,12.00g,52.00g,13.00g
1238,딥치즈갈릭토스트,1갸 (150g)당,414kcal,22.00g,42.00g,12.00g
1239,몽쉘케이크,1인분 (105g)당,374kcal,20.00g,40.00g,4.00g
1240,고구마단팥죽,1인분 (260g)당,255kcal,0.90g,52.00g,10.00g
1241,유부위에 나있새우,1회 (230g)당,463kcal,15.00g,69.00g,13.00g
1242,보통이 아니새우 도시락,1인분 (345g)당,597kcal,21.00g,88.00g,14.00g
1243,파인애플 오믈렛,2조각 (160g)당,410kcal,20.00g,53.00g,5.00g
1244,벌교꼬막김밥,1회 (215g)당,314kcal,3.30g,61.00g,10.00g
1245,눈꽃머랭팝콘,1회 (30g)당,145kcal,6.00g,21.00g,2.00g
1246,The 부드러운 햄 샌드위치,1회 (136g)당,305kcal,13.00g,38.00g,9.00g
1247,구운에그카레마요,1인분 (105g)당,191kcal,7.00g,27.00g,5.00g
1248,맵달버거,1인분 (190g)당,577kcal,33.00g,53.00g,17.00g
1249,소라감태마요김밥,1인분 (265g)당,506kcal,18.00g,76.00g,10.00g
1250,불고기왕가득 김밥,1인분 (210g)당,293kcal,5.00g,53.00g,9.00g
1251,왕갈비롱버거,1회 (170g)당,467kcal,23.00g,49.00g,16.00g
1252,마라로우촨,1개 (70g)당,175kcal,12.00g,7.00g,10.00g
1253,메가돈스바,100g당,268kcal,21.23g,3.66g,15.59g
1254,Delaffe 믹스커피,1개 (230ml)당,120kcal,0.70g,27.00g,1.00g
1255,크랜베리 치킨샌드,1회 (220g)당,422kcal,10.00g,55.00g,28.00g
1256,판타스틱치킨버거,1인분 (192g)당,497kcal,24.00g,49.00g,22.00g
1257,햄에그치즈,1인분 (200g)당,424kcal,20.00g,43.00g,18.00g
1258,백종원의 빽햄 김치볶음,1인분 (102g)당,199kcal,7.00g,29.00g,5.00g
1259,통참치 김밥,1인분 (251g)당,404kcal,12.00g,54.00g,20.00g
1260,빅바베큐치즈버거,1봉지 (160g)당,382kcal,14.00g,49.00g,15.00g
1261,현미칩 바베큐맛,1회 (55g)당,290kcal,15.00g,35.00g,3.00g
1262,햄참치마요&매콤제육김밥,1줄 (220g)당,372kcal,12.00g,50.00g,16.00g
1263,건강한 하루 케일&파인,1회 (190ml)당,80kcal,0.00g,19.00g,1.00g
1264,통햄에그 밥샌드,1개 (180g)당,292kcal,4.00g,55.00g,9.00g
1265,햄구이김치볶음밥,1개 (110g)당,195kcal,7.00g,29.00g,5.00g
1266,망고듬뿍빙수,1컵 (280g)당,259kcal,4.80g,51.00g,3.00g
1267,치킨트리오,1인분 (355g)당,727kcal,19.00g,116.00g,23.00g
1268,콘치즈면,100g당,480kcal,18.00g,70.00g,9.00g
1269,불닭삼김,100g당,175kcal,2.60g,33.00g,5.00g
1270,팔도진미 경상도편,1회 (390g)당,489kcal,9.00g,83.00g,19.00g
1271,참치불닭 삼각김밥,1회 (105g)당,216kcal,8.00g,30.00g,6.00g
1272,단짠어묵계란밥 삼각김밥,100g당,201kcal,5.00g,34.00g,5.00g
1273,햄참치김볶,1인분 (170g)당,320kcal,8.00g,55.00g,7.00g
1274,매콤 야끼소바 라면,1개 (105g)당,430kcal,14.00g,67.00g,9.00g
1275,더건강한 통목살햄샌드,1인분 (185g)당,337kcal,13.00g,38.00g,17.00g
1276,맵달 양념치킨 삼각김밥,1인분 (107g)당,199kcal,3.40g,37.00g,5.00g
1277,양념치킨버거,1인분 (185g)당,481kcal,21.00g,55.00g,18.00g
1278,불똥집짜글이,1인분 (305g)당,295kcal,5.00g,45.00g,17.00g
1279,새콤 치킨 샐러드 샌드위치,1인분 (180g)당,349kcal,17.00g,36.00g,13.00g
1280,프레시호밀버거,1인분 (162g)당,389kcal,17.00g,46.00g,13.00g
1281,앵그리크림쫄면,1인분 (407g)당,768kcal,24.00g,122.00g,16.00g
1282,쫀떡흑임절미 샌드위치,1인분 (140g)당,394kcal,10.00g,67.00g,9.00g
1283,오리덕분이삼,1인분 (102g)당,182kcal,3.30g,10.00g,6.00g
1284,콩닭콩닭세트,1인분 (265g)당,478kcal,18.00g,67.00g,12.00g
1285,리얼감자스틱 스위트허니,1봉지 (54g)당,315kcal,21.00g,28.00g,3.00g
1286,맛있닭가슴살 정식,1인분 (480g)당,841kcal,25.00g,114.00g,40.00g
1287,메추리알짜장 삼각김밥,100g당,146kcal,2.90g,26.00g,4.00g
1288,육간장불고기 삼각김밥,1개 (110g)당,180kcal,3.50g,31.00g,6.00g
1289,마시는 한끼 고구마,1병 (200ml)당,135kcal,5.00g,20.00g,2.00g
1290,딸기콕콕슈,2개 (90g)당,306kcal,22.00g,23.00g,4.00g
1291,매콤참치 콘샌드위치,1인분 (160g)당,393kcal,21.00g,41.00g,10.00g
1292,햄토마토디럭스샌드위치,1팩 (180g)당,435kcal,23.00g,46.00g,11.00g
1293,크런키소보로,1회 (90g)당,205kcal,9.00g,27.00g,3.00g
